Gênero,Autor,Obra,Trechos / textos exigidos
Poesia,José Paulo Paes,Prosas seguidas de odes mínimas,Obra completa
Poesia,Cartola,10 canções escolhidas,"Alvorada, As rosas não falam, Cordas de aço, Disfarça e chora, O inverno do meu tempo, O mundo é um moinho, Que é feito de você?, Sala de recepção, Silêncio de um cipreste, Sim"
Conto,Caio Fernando Abreu,Morangos mofados,"Diálogo, Além do Ponto, Terça-Feira Gorda, Pêra, uva ou maçã?, O dia em que Júpiter encontrou Saturno, Aqueles dois"
Conto,Conceição Evaristo,Olhos d'água,Obra completa
Romance,Lima Barreto,Vida e morte de M.J. Gonzaga de Sá,Obra completa
Romance,Paulina Chiziane,Niketche – uma História de Poligamia,Obra completa
Romance,Machado de Assis,Casa Velha,Obra completa
Romance,Lewis Carrol,Alice no país das maravilhas,"Selecionar qualquer tradução da obra, mas não adaptações."
Entrevistas/Palestras,Ailton Krenak,A vida não é útil,Obra completa
